id,Name,path,url
1517,Designers/,1/2/1517,/designers.html
1898,Designers/All Designers/,1/2/1517/1898,/designers/all-designers.html
1910,Designers/All Designers/10 Crosby Derek Lam/,1/2/1517/1898/1910,/designers/all-designers/10-crosby-derek-lam.html
2592,Designers/All Designers/10 Crosby Derek Lam/Clothing/,1/2/1517/1898/1910/2592,/designers/all-designers/10-crosby-derek-lam/clothing.html
2654,Designers/All Designers/10 Crosby Derek Lam/Handbags/,1/2/1517/1898/1910/2654,/designers/all-designers/10-crosby-derek-lam/handbags.html
1911,Designers/All Designers/12th Street By Cynthia Vincent/,1/2/1517/1898/1911,/designers/all-designers/12th-street-by-cynthia-vincent.html
1913,Designers/All Designers/360 Cashmere/,1/2/1517/1898/1913,/designers/all-designers/360-cashmere.html
1914,Designers/All Designers/360 Sweater/,1/2/1517/1898/1914,/designers/all-designers/360-sweater.html
1915,Designers/All Designers/3x1/,1/2/1517/1898/1915,/designers/all-designers/3x1.html
1909,Designers/All Designers/6397/,1/2/1517/1898/1909,/designers/all-designers/6397.html
1917,Designers/All Designers/A Piece Apart/,1/2/1517/1898/1917,/designers/all-designers/a-piece-apart.html
1919,Designers/All Designers/Ab A Brand Apart/,1/2/1517/1898/1919,/designers/all-designers/ab-a-brand-apart.html
2648,Designers/All Designers/Ab A Brand Apart/Handbags/,1/2/1517/1898/1919/2648,/designers/all-designers/ab-a-brand-apart/handbags.html
1921,Designers/All Designers/Ace & Jig/,1/2/1517/1898/1921,/designers/all-designers/ace-and-jig.html
1922,Designers/All Designers/Acne Studios/,1/2/1517/1898/1922,/designers/all-designers/acne-studios.html
2595,Designers/All Designers/Acne Studios/Clothing/,1/2/1517/1898/1922/2595,/designers/all-designers/acne-studios/clothing.html
2637,Designers/All Designers/Acne Studios/Shoes/,1/2/1517/1898/1922/2637,/designers/all-designers/acne-studios/shoes.html
1918,Designers/All Designers/A.L.C/,1/2/1517/1898/1918,/designers/all-designers/alc.html
2598,Designers/All Designers/A.L.C/Clothing/,1/2/1517/1898/1918/2598,/designers/all-designers/alc/clothing.html
1923,Designers/All Designers/Alexander Wang/,1/2/1517/1898/1923,/designers/all-designers/alexander-wang.html
2610,Designers/All Designers/Alexander Wang/Clothing/,1/2/1517/1898/1923/2610,/designers/all-designers/alexander-wang/clothing.html
2645,Designers/All Designers/Alexander Wang/Handbags/,1/2/1517/1898/1923/2645,/designers/all-designers/alexander-wang/handbags.html
2626,Designers/All Designers/Alexander Wang/Shoes/,1/2/1517/1898/1923/2626,/designers/all-designers/alexander-wang/shoes.html
1924,Designers/All Designers/Alexia/,1/2/1517/1898/1924,/designers/all-designers/alexia.html
1925,Designers/All Designers/Alexis Bittar/,1/2/1517/1898/1925,/designers/all-designers/alexis-bittar.html
1926,Designers/All Designers/American Colors/,1/2/1517/1898/1926,/designers/all-designers/american-colors.html
1927,Designers/All Designers/Ancient Greek Sandals/,1/2/1517/1898/1927,/designers/all-designers/ancient-greek-sandals.html
2629,Designers/All Designers/Ancient Greek Sandals/Shoes/,1/2/1517/1898/1927/2629,/designers/all-designers/ancient-greek-sandals/shoes.html
1930,Designers/All Designers/April 77/,1/2/1517/1898/1930,/designers/all-designers/april-77.html
1931,Designers/All Designers/Arielle De Pinto/,1/2/1517/1898/1931,/designers/all-designers/arielle-de-pinto.html
1920,Designers/All Designers/Atm/,1/2/1517/1898/1920,/designers/all-designers/atm.html
1934,Designers/All Designers/Attic And Barn/,1/2/1517/1898/1934,/designers/all-designers/attic-and-barn.html
1935,Designers/All Designers/Autumn Cashmere/,1/2/1517/1898/1935,/designers/all-designers/autumn-cashmere.html
2619,Designers/All Designers/Autumn Cashmere/Accessories/,1/2/1517/1898/1935/2619,/designers/all-designers/autumn-cashmere/accessories.html
1937,Designers/All Designers/Band Of Outsiders/,1/2/1517/1898/1937,/designers/all-designers/band-of-outsiders.html
1938,Designers/All Designers/Bella Jones/,1/2/1517/1898/1938,/designers/all-designers/bella-jones.html
